Rank,District,District URL,district_id,City,City URL,Zip,County,Low Grade,High Grade,Number Students,Number of Ranked Elementary Schools,Number of Ranked Middle Schools,Number of Ranked High Schools,Rank Score (2021),Rank Score (2020),Rank (2020),Rank Change from 2020,SchoolDigger Star Rating (2021)
41,Woodland Park School District No. Re-2,https://www.schooldigger.com/go/CO/district/07380/search.aspx,"""07380""",Woodland Park,https://www.schooldigger.com/go/CO/city/Woodland+Park/search.aspx,80863,Teller County,PK,12,2284,3,1,1,0.413389,0.5239198,47,6,3
42,Weld County School District No. Re-7,https://www.schooldigger.com/go/CO/district/04950/search.aspx,"""04950""",Kersey,https://www.schooldigger.com/go/CO/city/Kersey/search.aspx,80644,Weld County,PK,12,1093,1,1,1,0.404961,0.5276792,46,4,3
43,School District No. Re-50 Wiggins,https://www.schooldigger.com/go/CO/district/07290/search.aspx,"""07290""",Wiggins,https://www.schooldigger.com/go/CO/city/Wiggins/search.aspx,80654,Morgan County,PK,12,715,1,1,1,0.3931004,0.3734015,89,46,3
44,Eagle County School District No. Re 50,https://www.schooldigger.com/go/CO/district/03540/search.aspx,"""03540""",Eagle,https://www.schooldigger.com/go/CO/city/Eagle/search.aspx,81631,Eagle County,PK,12,6812,8,4,2,0.3924676,0.4887745,55,11,2
45,Mesa County Valley School District No. 51,https://www.schooldigger.com/go/CO/district/04350/search.aspx,"""04350""",Grand Junction,https://www.schooldigger.com/go/CO/city/Grand+Junction/search.aspx,81501,Mesa County,PK,12,21994,26,8,4,0.3888044,0.3946519,77,32,2
46,Montezuma-Cortez School District No. Re-1,https://www.schooldigger.com/go/CO/district/03090/search.aspx,"""03090""",Cortez,https://www.schooldigger.com/go/CO/city/Cortez/search.aspx,81321,Montezuma County,PK,12,2779,3,0,0,0.3873873,0.2544823,114,68,2
47,Fowler School District No. R4J,https://www.schooldigger.com/go/CO/district/04110/search.aspx,"""04110""",Fowler,https://www.schooldigger.com/go/CO/city/Fowler/search.aspx,81039,Otero County,PK,12,359,1,1,1,0.3809418,0.4999798,51,4,2
48,Buena Vista School District No. R-31,https://www.schooldigger.com/go/CO/district/02640/search.aspx,"""02640""",Buena Vista,https://www.schooldigger.com/go/CO/city/Buena+Vista/search.aspx,81211,Chaffee County,PK,12,1077,1,1,0,0.3790857,0.5386927,43,-5,2
49,Colorado Springs School District No. 11,https://www.schooldigger.com/go/CO/district/03060/search.aspx,"""03060""",Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80903,El Paso County,PK,12,26026,22,9,4,0.3775695,0.4177124,72,23,2
50,Pueblo County School District 70,https://www.schooldigger.com/go/CO/district/06150/search.aspx,"""06150""",Pueblo,https://www.schooldigger.com/go/CO/city/Pueblo/search.aspx,81001,Pueblo County,PK,12,10555,9,7,3,0.3720811,0.4569305,66,16,2
51,Fountain School District No. 8,https://www.schooldigger.com/go/CO/district/04080/search.aspx,"""04080""",Fountain,https://www.schooldigger.com/go/CO/city/Fountain/search.aspx,80817,El Paso County,PK,12,8529,8,2,0,0.3720102,0.4716463,62,11,2
52,Wray Rd-2 School District,https://www.schooldigger.com/go/CO/district/00017/search.aspx,"""00017""",Wray,https://www.schooldigger.com/go/CO/city/Wray/search.aspx,80758,Yuma County,PK,12,759,1,1,1,0.3565627,0.5798371,34,-18,2
53,Estes Park School District R-3,https://www.schooldigger.com/go/CO/district/03810/search.aspx,"""03810""",Estes Park,https://www.schooldigger.com/go/CO/city/Estes+Park/search.aspx,80517,Larimer County,PK,12,1151,1,1,1,0.3560305,0.4553993,67,14,2
54,Strasburg School District 31J,https://www.schooldigger.com/go/CO/district/06750/search.aspx,"""06750""",Strasburg,https://www.schooldigger.com/go/CO/city/Strasburg/search.aspx,80136,Adams County,PK,12,1080,1,1,0,0.340364,0.5455934,39,-15,2
55,Sargent School District No. Re-33J,https://www.schooldigger.com/go/CO/district/06450/search.aspx,"""06450""",Monte Vista,https://www.schooldigger.com/go/CO/city/Monte+Vista/search.aspx,81144,Rio Grande County,PK,12,354,1,1,0,0.3379758,0.5431758,41,-14,2
56,Custer County School District Consolidate 1,https://www.schooldigger.com/go/CO/district/07200/search.aspx,"""07200""",Westcliffe,https://www.schooldigger.com/go/CO/city/Westcliffe/search.aspx,81252,Custer County,PK,12,395,1,1,0,0.3342933,0.5864491,33,-23,2
57,School District No. 3,https://www.schooldigger.com/go/CO/district/06480/search.aspx,"""06480""",Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80911,El Paso County,PK,12,9669,7,4,1,0.3337535,0.4977727,52,-5,2
58,Crowley County School District No. Re-1-J,https://www.schooldigger.com/go/CO/district/03210/search.aspx,"""03210""",Ordway,https://www.schooldigger.com/go/CO/city/Ordway/search.aspx,81063,Crowley County,PK,12,425,1,0,0,0.3129445,0.289146,106,48,2
